Job_ID,Job_Role,Company,Location,Phone_Number,Employment_Type,Experience_Required,Education_Level,Industry,Remote_Type,Skills_Required,Salary_LPA,Company_Rating,Applicants_Count,Post_Days_Ago
4001,Cloud Engineer,IBM,Mumbai,7342929482,Part-Time,3-5 years,Bachelors,E-commerce,Remote,"Node.js, React, JavaScript, TensorFlow",34,4.7,158,4
4002,AI Engineer,Microsoft,Ahmedabad,8975336783,Contract,1-3 years,PhD,E-commerce,Remote,"Node.js, SQL, Pandas, Machine Learning",35,4.6,119,15
4003,Backend Developer,IBM,Noida,9849428709,Internship,5-8 years,PhD,Cloud,Remote,"Docker, AWS, Python, Machine Learning",7,4.1,27,5
4004,Product Manager,Amazon,Bangalore,6218473855,Full-Time,3-5 years,Bachelors,Healthcare,On-site,"Power BI, Docker, PyTorch, SQL",35,3.7,648,18
4005,AI Engineer,SAP,Pune,6167137559,Full-Time,8+ years,Bachelors,Cloud,Hybrid,"Machine Learning, TensorFlow, Python, PyTorch",14,3.8,112,13
4006,DevOps Engineer,Capgemini,Mumbai,6576528387,Full-Time,3-5 years,Masters,E-commerce,Hybrid,"TensorFlow, Power BI, Java, JavaScript",17,4.5,211,8
4007,Business Analyst,TCS,Noida,8505518322,Full-Time,0-1 years,Bachelors,AI,Hybrid,"Java, React, SQL, Tableau",38,3.6,271,21
4008,Frontend Developer,IBM,Bangalore,6859286987,Internship,0-1 years,PhD,IT Services,Hybrid,"Power BI, Kubernetes, Machine Learning, Tableau",7,4.5,166,2
4009,Cloud Engineer,Microsoft,Noida,6449923040,Internship,5-8 years,Bachelors,FinTech,Hybrid,"Python, Docker, Node.js, Power BI",14,4.3,173,8
4010,Data Scientist,Oracle,Coimbatore,6806025969,Contract,8+ years,Masters,Software,On-site,"Kubernetes, React, Power BI, Machine Learning",35,4.7,672,1
4011,Full Stack Developer,Zoho,Ahmedabad,9537983796,Contract,1-3 years,Masters,E-commerce,Hybrid,"SQL, React, Python, Power BI",9,4.6,538,16
4012,Business Analyst,Freshworks,Delhi,7385593597,Full-Time,8+ years,PhD,Healthcare,On-site,"Pandas, Python, Node.js, SQL",29,4.4,785,21
4013,Frontend Developer,Infosys,Bangalore,7730288930,Part-Time,1-3 years,Masters,Healthcare,Hybrid,"Power BI, Kubernetes, Python, Pandas",10,4.1,682,16
4014,Data Scientist,Cognizant,Chennai,6193578322,Full-Time,3-5 years,PhD,E-commerce,Remote,"Kubernetes, TensorFlow, Tableau, SQL",36,4.8,701,16
4015,DevOps Engineer,Accenture,Ahmedabad,7654994591,Full-Time,1-3 years,PhD,IT Services,Hybrid,"TensorFlow, SQL, Tableau, React",9,3.3,420,23
4016,Product Manager,Infosys,Chennai,7131563515,Contract,0-1 years,PhD,E-commerce,Hybrid,"AWS, React, Docker, SQL",5,4.6,294,20
4017,AI Engineer,IBM,Bangalore,7965479971,Full-Time,0-1 years,Bachelors,Software,On-site,"Power BI, AWS, Machine Learning, SQL",32,3.9,413,6
4018,DevOps Engineer,Zoho,Kolkata,8307007327,Full-Time,3-5 years,PhD,AI,Remote,"Tableau, Java, Pandas, SQL",10,3.6,65,7
4019,Backend Developer,Capgemini,Hyderabad,8260758904,Contract,1-3 years,Bachelors,IT Services,Hybrid,"Python, Power BI, Docker, Tableau",34,4.1,454,18
4020,Cloud Engineer,Freshworks,Bangalore,9152282823,Full-Time,8+ years,PhD,FinTech,On-site,"Pandas, Power BI, React, JavaScript",15,4.0,131,4
4021,Cloud Engineer,SAP,Bangalore,9318554295,Internship,5-8 years,Bachelors,Cloud,Remote,"React, AWS, JavaScript, Machine Learning",34,4.5,75,7
4022,Backend Developer,Wipro,Hyderabad,9281977111,Contract,5-8 years,Bachelors,Software,Hybrid,"PyTorch, Kubernetes, TensorFlow, Tableau",26,4.9,96,18
